Time,Temp(�C),Vpv(V),Iac(A),Vac(V),Fac(Hz),Pac(W),Zac(mOhm),E-Total(kWh),E-Today(kWh),h-Total(h),Vpv1(V),Vpv2(V),Vpv3(V),Ipv1(A),Ipv2(A),Ipv3(A),Ppv1(W),Ppv2(W),Ppv3(W),Iac1(A),Iac2(A),Iac3(A),Vac1(V),Vac2(V),Vac3(V),Temp1(C),Temp2(C),RAD1(W/m^2),RAD2(W/m^2)
2023/10/23 06:39:30, 33.0,282.6,  0.0,241.8, 49.92,     0,NA, 94582.1,     0.00, 33005,282.6,370.7,233.4,  0.0,  0.0,  0.0,     0,     0,     0,  0.0,  0.0,  0.0,241.8,243.8,242.0,NA,NA,NA,NA
2023/10/23 06:44:30, 33.6,217.8,  0.2,241.8, 49.97,    43,NA, 94582.1,     0.00, 33005,217.8,451.9,408.0,  0.0,  0.0,  0.0,     0,     0,     0,  0.2,  0.2,  0.3,241.8,243.0,242.5,NA,NA,NA,NA
2023/10/23 06:49:30, 34.8,229.7,  0.2,241.7, 49.99,    48,NA, 94582.1,     0.00, 33005,229.7,410.1,310.9,  0.0,  0.0,  0.0,     0,     0,     0,  0.2,  0.2,  0.2,241.7,242.2,241.2,NA,NA,NA,NA
2023/10/23 06:54:30, 35.9,334.3,  0.2,240.1, 49.87,    52,NA, 94582.1,     0.00, 33005,334.3,252.4,433.0,  0.0,  0.0,  0.0,     0,     0,     0,  0.2,  0.2,  0.2,240.1,240.9,240.3,NA,NA,NA,NA
2023/10/23 06:59:30, 36.9,264.7,  0.3,239.3, 49.93,    69,NA, 94582.1,     0.00, 33005,264.7,214.0,419.3,  0.0,  0.0,  0.1,     0,     0,    41,  0.3,  0.3,  0.3,239.3,240.4,239.9,NA,NA,NA,NA
2023/10/23 07:04:30, 37.9,227.9,  0.3,238.8, 50.00,   108,NA, 94582.1,     0.00, 33005,227.9,277.3,398.9,  0.0,  0.0,  0.1,     0,     0,    39,  0.3,  0.2,  0.3,238.8,240.1,239.1,NA,NA,NA,NA
2023/10/23 07:09:30, 38.9,231.6,  0.3,238.9, 50.03,   164,NA, 94582.2,     0.10, 33005,231.6,349.3,417.1,  0.0,  0.1,  0.2,     0,    34,    83,  0.3,  0.3,  0.3,238.9,240.1,239.3,NA,NA,NA,NA
2023/10/23 07:14:30, 39.7,217.7,  0.3,238.5, 50.00,   154,NA, 94582.2,     0.10, 33005,217.7,382.4,409.6,  0.0,  0.0,  0.1,     0,     0,    40,  0.3,  0.2,  0.3,238.5,239.6,238.9,NA,NA,NA,NA
2023/10/23 07:19:30, 40.7,249.4,  0.4,238.5, 50.03,   170,NA, 94582.2,     0.10, 33005,249.4,414.2,395.1,  0.0,  0.0,  0.2,     0,     0,    79,  0.4,  0.4,  0.4,238.5,239.2,238.6,NA,NA,NA,NA
2023/10/23 07:24:30, 41.6,227.7,  0.2,237.9, 50.04,   168,NA, 94582.2,     0.10, 33005,227.7,398.2,422.7,  0.0,  0.0,  0.2,     0,     0,    84,  0.2,  0.2,  0.3,237.9,238.7,238.3,NA,NA,NA,NA
